Count,Index,DialogID,Dialog,Agreed emotion (2/3 vote),Worker 1 answer,Worker 2 answer,Worker 3 answer
1,0.9-296291,765039,"You got to call an ambulance , man . You have to get out of here , now .
I think I have some internal bleeding .",-,Anxious,Terrified,Afraid
2,0.8-24,27606,This isn 't fair ! You can 't stop me !,Angry,Angry,Angry,Furious
3,0.9-11380,29240,"It 's better to just get it over with quickly !
Wow there 's a lot . Let 's work .
This is so irritating !",Annoyed,Annoyed,Acknowledging,Annoyed
4,0.9-61396,157203,I 've been expecting you .,Anticipating,Anticipating,Anticipating,Anticipating
5,0.9-1483921,4020399,So many people here I 'm so nervous,Anxious,Anxious,Afraid,Anxious
6,0.9-26401,66776,"I do not know whether this is right , Mom ?",Apprehensive,Apprehensive,Apprehensive,Apprehensive
7,0.9-1038,2846,"Have you told George yet ?
I tried to tell Father earlier . And I couldn 't . I was too ashamed .",Ashamed,Ashamed,Ashamed,Embarrassed
8,0.9-42640,108441,"Talk to them . What are you doing ?
You haven 't slept in 24 hours . Please go home and rest .
I am here with Ankur . I will take care of him .",Caring,Caring,Caring,Caring
9,0.9-29,115,"Yum !
I can do it myself .",Confident,Confident,Proud,Confident
10,0.9-12192,31278,"So , is this what you 've been planning ?
No . We 're just here on a nice day to spend some quality time . It 's okay if you don 't have anything planned . You can tell me . I do .",Content,Content,Questioning,Content
11,0.9-23057,59233,"We were trying to get pregnant . We knew it 'd be difficult . Almost given up thinking it would happen . Couple of days ago , that turned up . She killed my baby , Fletch . Three weeks before she dies . Never said a word . Didn 't even tell me she was pregnant .",Devastated,Devastated,Angry,Devastated
12,0.9-18233,46898,"Lost your husband ?
He didn 't come today .",Disappointed,Disappointed,Disappointed,Sad
13,0.9-15632,40381,"Can you straighten up in here ?
This place is kind of disgusting .",Disgusted,Disgusted,Annoyed,Disgusted
14,0.9-17822,46077,It was chilly . I forgot my coat .,-,Neutral (Other),Anxious,Forgetful (Other)
15,0.9-4721,12806,"Hey , Brick . I 've got a big surprise . This Saturday , I am taking you to the book fair in Terre Haute . But I 'm gonna be in Chicago on Saturday .
Oh , that 's this weekend . Hmm .
What should we do about that ?
Once-in-a-lifetime book fair or stinky old Chicago ?
Well , despite the poor air quality and aging infrastructure , I think it 'd still rather go to Chicago .
Did I tell you about all the candy I 'm gonna buy you ?
Oh , in Chicago , we 're going to an old-time candy store . You know , there 's a lot of bad things about Chicago . It 's cold . There 's crime . The Cubs .
Hey , Brickster .
You pumped for that Chicago trip ?
Dottie 's super stoked . Gonna be the trip of a lifetime .",Excited,Excited,Anticipating,Excited
