,emotion,cos_sim,high_dialog_id,high_dialog,os_dialog_id,os_dialog
0,acknowledging,0.9584,1404394,"- - Shot the bad guy .
- - Yeah . You did .
- - Yeah , you did .
- - Nice . Yeah .",5585194,"- Yup , I knew it . I 've been dealing with this all over town . It 's not us , it 's the city pipes , you know ? They 're all rusted out . Doris Norman 's got six bathrooms . Took me five hours to set her up .
- Nice . Yeah .
- Well , she said I could charge her for the whole day .
- Seriously ? Yeah , so I did .
- Nice . Yeah ."
1,acknowledging,0.957,6516274,"- - You 're so beautiful .
- - So beautiful .",2924113,"- She 's beautiful .
- Too beautiful ."
2,acknowledging,0.9562,6516274,"- - You 're so beautiful .
- - So beautiful .",2917931,"- You don 't die yet . You 're not human , but you 're very beautiful .
- Very beautiful ."
3,acknowledging,0.9548,6516274,"- - You 're so beautiful .
- - So beautiful .",1152291,"- You have a very beautiful voice .
- Very beautiful ."
4,acknowledging,0.9547,6516274,"- - You 're so beautiful .
- - So beautiful .",5702980,"- I love you , Dorothy .
- So beautiful ."
5,acknowledging,0.9546,6516274,"- - You 're so beautiful .
- - So beautiful .",2165244,"- You 're so strong . You fuck me so well .
- So beautiful ."
6,acknowledging,0.9526,6516274,"- - You 're so beautiful .
- - So beautiful .",3520536,"- You 're a good dancer . You 're beautiful .
- Very beautiful ."
7,acknowledging,0.9514,6516274,"- - You 're so beautiful .
- - So beautiful .",4359291,"- 'It 's all too much , isn 't it ? ' I tried looking after her on the farm , but ... .. she just drifted further and further away . So the Axeman broke the cardinal rule of rock and roll , eh ?
- Fell in love with a groupie .
- Yeah . Man , she was beautiful .
- So very , very beautiful ."
8,acknowledging,0.946,6516274,"- - You 're so beautiful .
- - So beautiful .",5457056,"- Oh , you were ... You were very beautiful .
- You , beautiful ."
9,acknowledging,0.9449,6516274,"- - You 're so beautiful .
- - So beautiful .",346066,"- The sky and the river ... and flowers . It 's all so beautiful !
- So very beautiful !"
10,acknowledging,0.9419,6516274,"- - You 're so beautiful .
- - So beautiful .",2971585,"- So beautiful
- Thank you Dongjun brother
- So beautiful"
11,acknowledging,0.9418,6516274,"- - You 're so beautiful .
- - So beautiful .",7135910,"- Why 'd you change ? Less to take off .
- Let 's skip dinner .
- God , it is beautiful .
- You 're beautiful ."
12,acknowledging,0.9414,6516274,"- - You 're so beautiful .
- - So beautiful .",925143,"- Oh , you 're so sweet .
- Gorgeous , gorgeous ."
13,acknowledging,0.9391,6516274,"- - You 're so beautiful .
- - So beautiful .",4400040,"- In the summers , when I was a kid she 'd take me outside to stand in the rain . She said it was good for our hair . Hers was so long .
- So beautiful ."
14,acknowledging,0.9375,6516274,"- - You 're so beautiful .
- - So beautiful .",1409766,"- as I see my model walking down the runway , I 'm getting exactly what I wanted . There was some serious head-turning in that dress . What a dress .
- So beautiful ."
15,acknowledging,0.9369,6516274,"- - You 're so beautiful .
- - So beautiful .",6714514,"- Professor , how can I thank you ?
- Not the cas e , Radonicich , among us foreigners . Truly beautiful .
- Very beautiful ."
16,acknowledging,0.9368,1404394,"- - Shot the bad guy .
- - Yeah . You did .
- - Yeah , you did .
- - Nice . Yeah .",945311,"- That was nice , right ?
- Yeah , it was ."
